WKT,nombre,descripción
"POINT (-3.1262176 43.3206488)",Muskizko Ikastola,
"POINT (-3.1156201 43.32212929999999)",Muskiz (frente a Kutxabank),
"POINT (-3.0751014 43.31769380000001)",Gallarta (centro salud),Gallarta
"POINT (-3.0417172 43.30146899999999)",Trapaga (Rotonda funicular,
"POINT (-3.03746 43.32188)",Santurtzi (Rotonda Cabieces),
"POINT (-3.0321387 43.3283237)",Santurtzi (soportales del Parque),
"POINT (-3.02243 43.318)",Portugalete (farmacia Carlos VII),
"POINT (-3.0129923 43.31223609999999)",Sestao (Bolera),
"POINT (-3.00926 43.30978)",Sestao (Las Llanas),
"POINT (-3.0148543 43.2919476)",Ugarte (rte etxebarri),
"POINT (-2.9947112 43.2963876)",Barakaldo (San Eloy, Gambrinus)
"POINT (-2.9890953 43.2932728)",Barakaldo (P. Justicia),
"POINT (-2.9949095 43.28452850000001)",Retuerto (bajo autopista),
"POINT (-2.98189 43.2818986)",Cruces (P. Bus Iglesia, salida del subterraneo)

