WKT,nombre,descripción
"POINT (-2.90383 43.25628)",BILBAO ( C/ Artalandio 3),
"POINT (-2.91181 43.2468)",BILBAO (Avda. Miraflores Gasolinera),
"POINT (-2.9223564 43.2553457)",BILBAO ( C/Atxuri 3 ),
"POINT (-2.92576 43.25662)",BILBAO (C/ DE LA RIBERA 20),
"POINT (-2.93511 43.25773)",BILBAO (Alda, San Mames 8),
"POINT (-2.943519999999999 43.25443)",BILBAO ( AVda Del Ferrocarril/Amezola),
"POINT (-2.9555986 43.2734083)",BILBAO (Rotonda Sarriko),
"POINT (-2.944169999999999 43.27168)",BILBAO (Plaza San Pedro),
"POINT (-2.9185208 43.2676254)",BILBAO (C/Maurice Ravel Telefônica),
"POINT (-2.91487 43.2608)",BILBAO (Avda. Zumalakarregi 38 Parque Etxebarria),
"POINT (-2.91092 43.25572999999999)",BILBAO (Avda. Zumalakarregi 56 Santutxu),
