WKT,nombre,descripción
"POINT (-2.932044 43.2621669)",Pedro,Gran Vía Don Diego López de Haro 25
"POINT (-2.9259282 43.2626664)",Juan,Calle Ibáñez de Bilbao 3
"POINT (-2.8259282 43.2626664)",Carlo,Alameda de Mazarredo 35
"POINT (-2.9379312 43.2617689)",Maria,Calle Ercilla 32
"POINT (-2.9308147 43.2595153)",Alvaro,Calle Lutxana 6
"POINT (-2.926006 43.2605401)",Sergio,Calle Navarra 1
"POINT (-2.9362827833722696 43.25972254031981)",Pedro,Alameda Rekalde 27
"POINT (-2.9358272 43.2619371)",Juan,Calle Rodríguez Arias 17
"POINT (-2.942889426192843 43.25749985)",Carlo,Calle Autonomía 45
"POINT (-2.930207 43.2596709)",Maria,Calle Hurtado de Amézaga 20
"POINT (-2.9393785 43.2616548)",Alvaro,Calle Licenciado Poza 31
"POINT (-2.9259282 42.2626664)",Sergio,Calle Doctor Areilza 32
"POINT (-2.9421421266946073 43.257143049999996)",Pedro,Calle Gordoniz 22
"POINT (-2.9441933854618263 43.25946006927043)",Juan,Calle Pérez Galdós 9
"POINT (-2.928092 43.2624606)",Carlo,Calle Colón de Larreátegui 13
