WKT,nombre,descripción
"POINT (-2.3570609 43.2943925)",ELGOIBAR (Urazamendi 2),
"POINT (-2.4723908 43.1852437)",EIBAR (San Juan 7),
"POINT (-2.4628919 43.1865322)",*EIBAR (Jardines),
"POINT (-2.5037219 43.1860649)",*ERMUA (parada bus),
"POINT (-2.5500037 43.1696283)",*Zaldibar (Parada bus),
"POINT (-2.630723300000001 43.1619006)",DURANGO (ibaizabal ikastola),
"POINT (-2.632422999999999 43.1718023)",DURANGO (Landako),
"POINT (-2.632997 43.1718125)",DURANGO (Madalena plaza),
"POINT (-2.7030859 43.20259899999999)",DURANGO (Lauaxeta ikastola),
"POINT (-2.730741099999999 43.2180756)",AMOREBIETA (Ambulatorio San Miguel),
